no,code,name
1,3055,蔚華科
2,4976,佳凌
3,2420,新巨
4,3607,谷崧
5,3669,圓展
6,3003,健和興
7,3592,瑞鼎
8,6933,AMAX-KY
9,6515,穎崴
10,6558,興能高
11,6835,圓裕
12,3002,歐格
13,4585,達明
14,6591,動力-KY
15,3416,融程電
16,7788,松川精密
17,6668,中揚光
18,3518,柏騰
19,2440,太空梭
20,6695,芯鼎
21,3622,洋華
22,3528,安馳
23,2415,錩新
24,6128,上福
25,3447,展達
26,3027,盛達
27,2488,漢平
28,6272,驊陞
29,6579,研揚
30,7749,意騰-KY
31,3046,建碁
32,3588,通嘉
33,2438,翔耀
34,6277,宏正
35,6792,詠業
36,6928,攸泰科技
37,8045,達運光電
38,6756,威鋒電子
39,6230,尼得科超眾
40,6115,鎰勝
41,3617,碩天
42,4588,玖鼎電力
43,3038,全台
44,6573,虹揚-KY
45,6525,捷敏-KY
46,6921,嘉雨思-創
47,8162,微矽電子-創
48,2462,良得電
49,3021,鴻名
50,6799,來頡
51,5215,科嘉-KY
52,2491,吉祥全
53,4935,茂林-KY
54,3043,科風
55,3679,新至陞
56,3015,全漢
57,3652,精聯
58,3501,維熹
59,4912,聯德控股-KY
60,2459,敦吉
61,6698,旭暉應材
62,2432,倚天酷碁-創
63,3530,晶相光
64,3229,晟鈦
65,6216,居易
66,8081,致新
67,3168,眾福科
68,7730,暉盛-創
69,2482,連宇
70,6136,富爾特
71,6916,華凌
72,6674,鋐寶科技
73,6552,易華電
74,2433,互盛電
75,2397,友通
76,6201,亞弘電
77,6183,關貿
78,2424,隴華
79,7631,聚賢研發-創
80,6243,迅杰
81,9912,偉聯
82,3321,同泰
83,3432,台端
84,6908,宏碁遊戲-創
85,6924,榮惠-KY創
86,6719,力智
87,3593,力銘
88,3494,誠研
89,2477,美隆電
90,8101,華冠
91,3150,鈺寶-創
92,3296,勝德
93,2434,統懋
94,2364,倫飛
95,2430,燦坤
96,4999,鑫禾
97,5225,東科-KY
98,8201,無敵
99,2373,震旦行
100,6863,永道-KY
101,3308,聯德
102,4545,銘鈺
103,6416,瑞祺電通
104,2425,承啟
105,2450,神腦
106,6192,巨路
107,8499,鼎炫-KY
108,4942,嘉彰
109,6722,輝創
110,3094,聯傑
111,8072,陞泰
112,2483,百容
113,3257,虹冠電
114,6743,安普新
115,5203,訊連
116,3057,喬鼎
117,5285,界霖
118,2429,銘旺科
119,2423,固緯
120,2414,精技
121,2471,資通
122,6281,全國電
123,3419,譁裕
124,6283,淳安
125,2480,敦陽科
126,6742,澤米
127,3311,閎暉
128,8114,振樺電
129,6117,迎廣
130,6224,聚鼎
131,2850,新產
132,2881C,富邦金丙特
133,2849,安泰銀
134,2882B,國泰金乙特
135,2891B,中信金乙特
136,2881B,富邦金乙特
137,2887G,台新新光庚特一
138,2887E,台新新光戊特一
139,2887H,台新新光庚特二
140,2832,台產
141,2816,旺旺保
142,2236,百達-KY
143,3346,麗清
144,2228,劍麟
145,1568,倉佑
146,2250,IKKA-KY
147,1525,江申
148,1533,車王電
149,2227,裕日車
150,2239,英利-KY
151,1512,瑞利
152,1339,昭輝
153,1521,大億
154,6988,威力暘-創
155,7732,金興精密
156,2254,巨鎧精密-創
157,4557,永新-KY
158,2115,六暉-KY
159,2248,華勝-KY
160,2247,汎德永業
161,1338,廣華-KY
162,2241,艾姆勒
163,2207,和泰車
164,6605,帝寶
165,4569,六方科-KY
