code,price,signals,signal_count,RSI,Williams,total_net,foreign_net,recommendation
2427,21.75,"RSI,Williams,MACD,CCI",4,27.7,-91.4,0,0,buy
4958,347.5,"RSI_OB,MACD,Foreign_buy",3,89.5,-50.0,820521,33167244,strong_buy
1587,33.85,"Williams,MACD,CCI",3,35.9,-83.7,0,0,buy
2317,221.5,"RSI_OB,MACD,Foreign_buy",3,87.8,-50.0,-487692,34085645,strong_buy
3005,96.6,"Williams,MACD,CCI",3,43.3,-95.8,0,0,buy
2303,74.5,"RSI_OB,MACD,Foreign_buy",3,89.6,-50.0,-38578,63274434,strong_buy
8110,45.75,"Williams,MACD,CCI",3,41.8,-80.4,0,0,buy
2331,20.3,"Williams,MACD,CCI",3,42.7,-89.1,0,0,buy
2204,53.2,"RSI,Williams,CCI",3,29.6,-93.5,0,0,buy
5484,37.15,"RSI,Williams,CCI",3,23.3,-94.5,0,0,buy
2836,11.85,"RSI,Williams,CCI",3,25.0,-90.9,0,0,buy
1319,75.2,"Williams,MACD,CCI",3,34.8,-92.3,0,0,buy
2812,19.95,"RSI,Williams,CCI",3,26.5,-88.9,0,0,buy
1522,31.3,"Williams,MACD,CCI",3,47.2,-92.9,0,0,buy
3026,216.0,"RSI_OB,MACD",2,71.2,-41.4,0,0,hold
3050,12.2,"Williams,CCI",2,31.9,-100.0,0,0,hold
3017,2945.0,"RSI_OB,MACD",2,86.6,-0.0,0,0,hold
3019,139.5,"RSI_OB,MACD",2,73.2,-0.0,0,0,hold
3022,69.0,"RSI_OB,MACD",2,70.9,-29.4,0,0,hold
3023,290.0,"RSI_OB,MACD",2,75.0,-31.6,0,0,hold
3024,13.8,"RSI_OB,MACD",2,85.3,-16.5,0,0,hold
00878,25.0,"RSI_OB,MACD",2,88.0,-8.8,0,0,hold
3025,59.2,"Williams,CCI",2,55.1,-90.0,0,0,hold
6166,76.0,"RSI_OB,MACD",2,77.3,-20.6,0,0,hold
3028,62.4,"RSI_OB,MACD",2,75.2,-36.3,0,0,hold
3044,480.5,"RSI_OB,MACD",2,96.9,-11.7,0,0,hold
3031,31.35,"RSI_OB,MACD",2,71.0,-20.4,0,0,hold
3033,34.6,"RSI_OB,MACD",2,75.7,-29.7,0,0,hold
3047,14.75,"Williams,CCI",2,40.2,-88.1,0,0,hold
3035,185.0,"RSI_OB,MACD",2,78.0,-2.1,0,0,hold
3036,199.0,"Williams,CCI",2,31.6,-95.1,0,0,hold
3037,790.0,"RSI_OB,MACD",2,84.8,-50.0,-492805,4970709,hold
3045,113.0,"RSI_OB,MACD",2,76.9,-35.7,0,0,hold
3042,144.5,"RSI_OB,MACD",2,75.4,-34.7,0,0,hold
6152,14.15,"Williams,CCI",2,33.1,-94.8,0,0,hold
3010,136.0,"RSI_OB,MACD",2,72.0,-49.2,0,0,hold
3016,67.5,"RSI_OB,MACD",2,73.2,-40.1,0,0,hold
2882,74.9,"RSI_OB,MACD",2,74.1,-50.0,1440470,6908919,hold
6257,185.0,"RSI_OB,MACD",2,79.8,-22.0,0,0,hold
4960,39.55,"RSI_OB,MACD",2,80.6,-29.8,0,0,hold
2820,16.8,"Williams,CCI",2,52.2,-91.7,0,0,hold
2834,16.3,"RSI_OB,MACD",2,81.4,-50.0,-18074,4368000,hold
2838,20.05,"Williams,CCI",2,34.8,-100.0,0,0,hold
2845,12.35,"Williams,CCI",2,33.3,-88.9,0,0,hold
6235,44.15,"Williams,MACD",2,41.9,-96.0,0,0,hold
6214,120.0,"RSI_OB,MACD",2,71.9,-41.0,0,0,hold
6213,276.0,"RSI_OB,MACD",2,91.8,-50.0,105000,4035192,hold
2883B,8.24,"Williams,CCI",2,34.6,-94.1,0,0,hold
3014,125.5,"RSI_OB,MACD",2,73.8,-33.3,0,0,hold
2885,49.95,"RSI_OB,MACD",2,75.1,-50.0,3145755,8171580,hold
6205,78.2,"RSI_OB,MACD",2,76.3,-33.8,0,0,hold
6202,57.8,"RSI_OB,MACD",2,71.9,-24.5,0,0,hold
2889,14.6,"Williams,CCI",2,41.0,-100.0,0,0,hold
6196,386.0,"RSI_OB,MACD",2,78.4,-21.5,0,0,hold
6191,109.0,"RSI_OB,MACD",2,71.1,-25.9,0,0,hold
3058,8.97,"Williams,CCI",2,34.1,-87.3,0,0,hold
6176,110.0,"RSI_OB,MACD",2,80.6,-21.4,0,0,hold
6168,24.7,"Williams,CCI",2,44.8,-98.4,0,0,hold
6141,30.9,"RSI_OB,MACD",2,72.3,-35.5,0,0,hold
3135,132.5,"RSI_OB,MACD",2,72.6,-20.8,0,0,hold
6139,706.0,"RSI_OB,MACD",2,76.7,-25.5,0,0,hold
3583,815.0,"RSI_OB,MACD",2,78.4,-25.6,0,0,hold
3596,164.5,"Williams,CCI",2,49.2,-86.8,0,0,hold
3605,76.4,"RSI_OB,MACD",2,78.1,-11.9,0,0,hold
3645,106.0,"RSI_OB,MACD",2,73.0,-27.0,0,0,hold
3653,5370.0,"RSI_OB,MACD",2,85.5,-15.2,0,0,hold
3661,4215.0,"RSI_OB,MACD",2,94.9,-7.2,0,0,hold
3665,2765.0,"RSI_OB,MACD",2,93.4,-15.6,0,0,hold
3694,59.8,"RSI_OB,MACD",2,70.9,-32.7,0,0,hold
5244,40.25,"Williams,MACD",2,50.1,-85.8,0,0,hold
5243,119.0,"RSI_OB,MACD",2,72.9,-37.2,0,0,hold
3711,496.0,"RSI_OB,MACD",2,84.0,-50.0,1146529,12452086,hold
5234,424.0,"RSI_OB,MACD",2,71.9,-52.8,0,0,hold
3717,20.65,"Williams,CCI",2,38.9,-98.6,0,0,hold
4989,109.0,"RSI_OB,MACD",2,94.3,-50.0,0,223030,hold
4968,123.5,"RSI_OB,MACD",2,75.3,-33.3,0,0,hold
4916,65.8,"RSI_OB,MACD",2,73.1,-32.3,0,0,hold
4919,145.0,"RSI_OB,MACD",2,88.2,-50.0,35000,1091327,hold
4927,53.3,"RSI_OB,MACD",2,73.2,-24.3,0,0,hold
4934,15.75,"Williams,MACD",2,48.3,-83.6,0,0,hold
4938,84.3,"RSI_OB,MACD",2,72.7,-19.3,0,0,hold
4967,258.5,"RSI_OB,MACD",2,73.7,-25.2,0,0,hold
4952,50.3,"RSI_OB,MACD",2,79.2,-33.6,0,0,hold
5434,416.0,"RSI_OB,MACD",2,83.7,-21.6,0,0,hold
5471,45.25,"RSI_OB,MACD",2,84.4,-32.5,0,0,hold
3060,27.0,"Williams,CCI",2,42.0,-92.6,0,0,hold
3543,40.95,"Williams,CCI",2,32.5,-81.6,0,0,hold
3062,25.8,"Williams,CCI",2,31.2,-99.3,0,0,hold
6133,21.7,"Williams,CCI",2,48.2,-90.8,0,0,hold
6278,145.0,"RSI_OB,MACD",2,80.2,-34.7,0,0,hold
3138,157.0,"Williams,CCI",2,48.6,-99.1,0,0,hold
6120,12.95,"Williams,CCI",2,50.8,-88.3,0,0,hold
3189,526.0,"RSI_OB,MACD",2,86.2,-50.0,2534000,14469222,hold
3209,54.5,"RSI_OB,MACD",2,93.8,-0.0,0,0,hold
3231,141.5,"RSI_OB,MACD",2,80.6,-50.0,1416886,18729459,hold
3305,105.0,"Williams,CCI",2,54.4,-87.0,0,0,hold
6112,45.15,"Williams,CCI",2,59.6,-91.4,0,0,hold
3338,81.2,"RSI_OB,MACD",2,78.7,-27.1,0,0,hold
6108,19.35,"RSI_OB,MACD",2,77.2,-0.0,0,0,hold
6024,55.1,"Williams,CCI",2,41.3,-92.0,0,0,hold
3380,34.9,"Williams,CCI",2,48.3,-95.8,0,0,hold
5880,23.0,"Williams,CCI",2,30.3,-100.0,0,0,hold
3443,4035.0,"RSI_OB,MACD",2,92.6,-13.4,0,0,hold
3450,318.0,"RSI_OB,MACD",2,85.9,-50.0,-1136000,7468708,hold
3504,66.3,"RSI_OB,MACD",2,72.9,-35.3,0,0,hold
3515,226.5,"RSI_OB,MACD",2,75.8,-26.5,0,0,hold
3532,172.5,"RSI_OB,MACD",2,70.6,-37.3,0,0,hold
3533,2520.0,"RSI_OB,MACD",2,71.7,-29.8,0,0,hold
6271,178.0,"RSI_OB,MACD",2,75.7,-38.3,0,0,hold
00713,53.45,"RSI_OB,MACD",2,76.2,-32.2,0,0,hold
2486,224.0,"RSI_OB,MACD",2,83.8,-11.9,0,0,hold
7822,1305.0,"Williams,CCI",2,35.2,-91.2,0,0,hold
2359,109.0,"Williams,MACD",2,52.8,-83.3,0,0,hold
7769,4730.0,"RSI_OB,MACD",2,80.1,-22.9,0,0,hold
7711,405.0,"RSI_OB,MACD",2,86.5,-2.9,0,0,hold
2365,34.25,"RSI_OB,MACD",2,71.2,-41.8,0,0,hold
6962,39.45,"RSI_OB,MACD",2,78.0,-17.1,0,0,hold
2368,1390.0,"RSI_OB,MACD",2,92.9,-0.0,0,0,hold
2305,15.75,"Williams,CCI",2,48.0,-98.9,0,0,hold
2376,278.0,"RSI_OB,MACD",2,76.6,-20.0,0,0,hold
8105,13.2,"Williams,CCI",2,50.7,-84.2,0,0,hold
6789,566.0,"RSI_OB,MACD",2,93.1,-0.0,0,0,hold
2383,4475.0,"RSI_OB,MACD",2,93.3,-0.6,0,0,hold
6781,1115.0,"RSI_OB,MACD",2,74.5,-36.6,0,0,hold
